order_id,timestamp,city,restaurant_id,cuisine,order_value,delivery_time_min,surge_applied
ORD132656,2025-01-01T10:08:00,Pune,R0131,Chinese,161,48,0
ORD106223,2025-01-01T10:09:00,Chennai,R0251,Street Food,266,45,1
ORD144165,2025-01-01T10:10:00,Mumbai,R0453,South Indian,169,38,0
ORD107106,2025-01-01T10:12:00,Delhi,R0508,North Indian,268,42,1
ORD149494,2025-01-01T10:15:00,Mumbai,R0103,Street Food,501,21,1
ORD123869,2025-01-01T10:28:00,Mumbai,R0707,North Indian,190,25,0
ORD138430,2025-01-01T10:32:00,Delhi,R0397,Fast Food,143,26,1
ORD141572,2025-01-01T10:34:00,Bangalore,R0670,Continental,687,29,0
ORD121029,2025-01-01T10:41:00,Pune,R0608,Desserts,493,50,1
ORD126386,2025-01-01T10:42:00,Mumbai,R0047,Fast Food,207,18,0
ORD140262,2025-01-01T10:47:00,Mumbai,R0449,South Indian,305,29,0
ORD108292,2025-01-01T10:47:00,Mumbai,R0043,Fast Food,215,20,0
ORD105725,2025-01-01T10:48:00,Mumbai,R0216,Chinese,407,32,0
ORD113832,2025-01-01T10:52:00,Mumbai,R0339,Chinese,349,47,0
ORD145900,2025-01-01T10:52:00,Bangalore,R0751,Desserts,335,42,0
ORD120497,2025-01-01T11:04:00,Hyderabad,R0414,Italian,291,31,0
ORD145835,2025-01-01T11:06:00,Hyderabad,R0591,South Indian,315,36,0
ORD113756,2025-01-01T11:06:00,Pune,R0298,North Indian,218,58,0
ORD134884,2025-01-01T11:06:00,Delhi,R0257,Chinese,378,29,0
ORD127422,2025-01-01T11:07:00,Delhi,R0435,Biryani,415,28,0
ORD127881,2025-01-01T11:11:00,Delhi,R0410,Fast Food,177,24,1
ORD119781,2025-01-01T11:15:00,Mumbai,R0025,South Indian,521,18,0
ORD120126,2025-01-01T11:17:00,Delhi,R0628,Street Food,199,33,0
ORD105130,2025-01-01T11:19:00,Chennai,R0138,Italian,227,58,0
ORD108467,2025-01-01T11:19:00,Delhi,R0117,North Indian,584,34,1
ORD139984,2025-01-01T11:20:00,Hyderabad,R0556,Desserts,257,43,0
ORD116861,2025-01-01T11:21:00,Bangalore,R0522,Chinese,477,42,1
ORD142123,2025-01-01T11:22:00,Delhi,R0613,Street Food,224,25,1
ORD117346,2025-01-01T11:23:00,Bangalore,R0380,South Indian,274,63,1
ORD123731,2025-01-01T11:23:00,Delhi,R0697,Biryani,221,45,0
ORD146225,2025-01-01T11:24:00,Bangalore,R0607,Italian,102,43,0
ORD114026,2025-01-01T11:25:00,Mumbai,R0775,Chinese,334,43,0
ORD105171,2025-01-01T11:28:00,Hyderabad,R0621,Italian,216,54,1
ORD103135,2025-01-01T11:28:00,Bangalore,R0331,South Indian,156,31,1
ORD118070,2025-01-01T11:30:00,Mumbai,R0113,Continental,238,34,0
ORD131082,2025-01-01T11:34:00,Mumbai,R0279,Biryani,188,58,0
ORD149854,2025-01-01T11:35:00,Hyderabad,R0341,South Indian,220,65,0
ORD142795,2025-01-01T11:35:00,Bangalore,R0240,Biryani,110,36,0
ORD123892,2025-01-01T11:37:00,Mumbai,R0141,Fast Food,891,46,0
ORD125457,2025-01-01T11:38:00,Pune,R0449,Biryani,142,44,1
ORD107195,2025-01-01T11:38:00,Bangalore,R0643,Chinese,476,38,1
ORD108180,2025-01-01T11:39:00,Chennai,R0753,South Indian,354,61,1
ORD139388,2025-01-01T11:40:00,Delhi,R0658,Italian,249,23,1
ORD113420,2025-01-01T11:41:00,Bangalore,R0601,Italian,168,29,0
ORD127813,2025-01-01T11:45:00,Mumbai,R0614,Italian,297,26,0
ORD137649,2025-01-01T11:48:00,Kolkata,R0080,Fast Food,306,28,0
ORD140270,2025-01-01T11:53:00,Pune,R0784,North Indian,299,49,0
ORD144072,2025-01-01T11:55:00,Mumbai,R0004,Fast Food,220,42,0
ORD120481,2025-01-01T11:56:00,Hyderabad,R0634,Fast Food,289,48,0
ORD144946,2025-01-01T11:57:00,Mumbai,R0368,Biryani,454,37,0
ORD125700,2025-01-01T12:00:00,Mumbai,R0622,Chinese,171,34,0
ORD122480,2025-01-01T12:00:00,Delhi,R0289,North Indian,222,39,0
ORD129997,2025-01-01T12:01:00,Mumbai,R0006,Biryani,121,24,0
ORD149714,2025-01-01T12:03:00,Chennai,R0139,Fast Food,205,37,0
ORD130350,2025-01-01T12:05:00,Delhi,R0461,Italian,232,35,1
ORD134811,2025-01-01T12:05:00,Chennai,R0679,South Indian,791,17,0
ORD115339,2025-01-01T12:05:00,Mumbai,R0605,Fast Food,183,32,0
ORD149906,2025-01-01T12:05:00,Kolkata,R0677,Biryani,166,34,0
ORD110039,2025-01-01T12:06:00,Mumbai,R0125,Street Food,186,64,1
ORD101866,2025-01-01T12:08:00,Mumbai,R0677,Italian,325,24,0
ORD135169,2025-01-01T12:09:00,Delhi,R0044,Continental,184,24,0
ORD131515,2025-01-01T12:09:00,Bangalore,R0238,Chinese,224,34,0
ORD142464,2025-01-01T12:10:00,Kolkata,R0035,Fast Food,129,36,0
ORD135431,2025-01-01T12:11:00,Delhi,R0459,Street Food,328,48,0
ORD143944,2025-01-01T12:15:00,Delhi,R0243,Continental,154,42,0
ORD146806,2025-01-01T12:17:00,Bangalore,R0571,Desserts,446,31,1
ORD101997,2025-01-01T12:18:00,Pune,R0101,Italian,322,27,0
ORD131197,2025-01-01T12:18:00,Mumbai,R0778,Chinese,151,44,0
ORD124807,2025-01-01T12:20:00,Mumbai,R0453,North Indian,212,52,1
ORD114244,2025-01-01T12:21:00,Bangalore,R0772,Continental,165,38,0
ORD132010,2025-01-01T12:23:00,Chennai,R0020,Chinese,248,42,0
ORD145773,2025-01-01T12:24:00,Delhi,R0663,Fast Food,201,18,0
ORD141909,2025-01-01T12:25:00,Delhi,R0491,Chinese,123,42,1
ORD126978,2025-01-01T12:26:00,Kolkata,R0086,Chinese,380,46,0
ORD111663,2025-01-01T12:26:00,Hyderabad,R0510,Fast Food,289,27,1
ORD125208,2025-01-01T12:27:00,Mumbai,R0532,Street Food,297,28,0
ORD148125,2025-01-01T12:33:00,Bangalore,R0152,North Indian,193,46,0
ORD101648,2025-01-01T12:35:00,Chennai,R0326,Street Food,293,31,1
ORD142038,2025-01-01T12:35:00,Chennai,R0458,North Indian,186,74,0
ORD122736,2025-01-01T12:36:00,Bangalore,R0304,North Indian,121,27,0
ORD119016,2025-01-01T12:36:00,Mumbai,R0203,Biryani,571,22,1
ORD120065,2025-01-01T12:39:00,Chennai,R0203,Desserts,213,62,1
ORD135619,2025-01-01T12:39:00,Delhi,R0711,Biryani,247,41,0
ORD117731,2025-01-01T12:41:00,Mumbai,R0702,North Indian,259,34,0
ORD128994,2025-01-01T12:43:00,Bangalore,R0792,South Indian,471,38,0
ORD127605,2025-01-01T12:45:00,Mumbai,R0538,Italian,324,39,0
ORD107339,2025-01-01T12:46:00,Bangalore,R0333,Italian,356,32,0
ORD104276,2025-01-01T12:47:00,Bangalore,R0316,North Indian,211,55,0
ORD129131,2025-01-01T12:47:00,Delhi,R0332,Continental,273,48,0
ORD136369,2025-01-01T12:51:00,Delhi,R0258,North Indian,194,31,1
ORD116587,2025-01-01T12:52:00,Chennai,R0637,Street Food,141,51,0
ORD111130,2025-01-01T12:55:00,Chennai,R0467,Italian,280,50,0
ORD130284,2025-01-01T12:55:00,Pune,R0306,North Indian,125,35,0
ORD146161,2025-01-01T12:56:00,Hyderabad,R0334,Biryani,179,33,1
ORD128467,2025-01-01T12:57:00,Mumbai,R0778,Chinese,233,39,0
ORD142100,2025-01-01T12:59:00,Delhi,R0314,Street Food,514,42,0
ORD111866,2025-01-01T13:00:00,Bangalore,R0653,Desserts,301,27,1
ORD147015,2025-01-01T13:02:00,Chennai,R0095,North Indian,187,66,0
ORD135844,2025-01-01T13:02:00,Mumbai,R0758,Italian,189,27,0
ORD123988,2025-01-01T13:03:00,Hyderabad,R0385,North Indian,283,28,1
ORD132716,2025-01-01T13:04:00,Delhi,R0455,Desserts,185,42,0
ORD142132,2025-01-01T13:04:00,Delhi,R0375,Italian,638,41,1
ORD131698,2025-01-01T13:05:00,Delhi,R0476,Chinese,145,43,0
ORD104812,2025-01-01T13:06:00,Delhi,R0641,North Indian,283,26,0
ORD135014,2025-01-01T13:07:00,Mumbai,R0297,North Indian,230,37,0
ORD145818,2025-01-01T13:07:00,Hyderabad,R0345,Desserts,182,40,0
ORD100730,2025-01-01T13:07:00,Hyderabad,R0618,Biryani,231,25,1
ORD106917,2025-01-01T13:10:00,Mumbai,R0780,Desserts,110,24,0
ORD101862,2025-01-01T13:15:00,Delhi,R0064,North Indian,316,50,1
ORD145330,2025-01-01T13:16:00,Delhi,R0028,Chinese,267,48,0
ORD107260,2025-01-01T13:16:00,Pune,R0356,Biryani,252,46,1
ORD110338,2025-01-01T13:17:00,Pune,R0665,Chinese,576,75,0
ORD132881,2025-01-01T13:18:00,Hyderabad,R0139,North Indian,301,23,0
ORD130106,2025-01-01T13:19:00,Mumbai,R0415,Chinese,537,33,1
ORD109088,2025-01-01T13:19:00,Chennai,R0479,North Indian,296,48,0
ORD147550,2025-01-01T13:20:00,Pune,R0699,Chinese,179,40,0
ORD104530,2025-01-01T13:20:00,Bangalore,R0470,Italian,177,54,0
ORD128851,2025-01-01T13:21:00,Delhi,R0541,Biryani,303,29,0
ORD138596,2025-01-01T13:22:00,Mumbai,R0502,Fast Food,249,43,0
ORD130167,2025-01-01T13:22:00,Hyderabad,R0391,South Indian,179,28,1
ORD118560,2025-01-01T13:23:00,Mumbai,R0340,Chinese,333,55,1
ORD149811,2025-01-01T13:25:00,Mumbai,R0403,Chinese,284,33,0
ORD116823,2025-01-01T13:26:00,Kolkata,R0655,Continental,339,18,1
ORD143394,2025-01-01T13:27:00,Kolkata,R0396,Biryani,187,90,0
ORD126968,2025-01-01T13:28:00,Delhi,R0573,Fast Food,457,28,0
ORD127242,2025-01-01T13:29:00,Mumbai,R0014,Fast Food,494,39,0
ORD106132,2025-01-01T13:30:00,Mumbai,R0525,Desserts,434,23,0
ORD112291,2025-01-01T13:32:00,Delhi,R0688,Biryani,313,47,0
ORD106495,2025-01-01T13:32:00,Chennai,R0393,Desserts,496,57,0
ORD141792,2025-01-01T13:35:00,Pune,R0722,Italian,334,59,0
ORD115037,2025-01-01T13:36:00,Kolkata,R0463,North Indian,223,51,0
ORD120334,2025-01-01T13:37:00,Mumbai,R0777,Biryani,247,43,0
ORD113823,2025-01-01T13:37:00,Hyderabad,R0301,Fast Food,139,41,1
ORD146343,2025-01-01T13:37:00,Mumbai,R0423,Continental,367,35,0
ORD104488,2025-01-01T13:39:00,Chennai,R0346,North Indian,175,17,0
ORD146999,2025-01-01T13:41:00,Bangalore,R0778,Street Food,279,34,0
ORD133590,2025-01-01T13:44:00,Delhi,R0726,Street Food,126,33,0
ORD129962,2025-01-01T13:44:00,Delhi,R0452,South Indian,354,54,0
ORD106421,2025-01-01T13:45:00,Mumbai,R0587,Continental,707,31,0
ORD141388,2025-01-01T13:45:00,Chennai,R0024,North Indian,387,64,0
ORD141367,2025-01-01T13:48:00,Delhi,R0195,Desserts,312,31,0
ORD127084,2025-01-01T13:48:00,Delhi,R0611,Fast Food,493,31,0
ORD130215,2025-01-01T13:51:00,Pune,R0203,Fast Food,248,19,0
ORD148217,2025-01-01T13:51:00,Hyderabad,R0707,Fast Food,392,40,1
ORD122820,2025-01-01T13:53:00,Pune,R0331,South Indian,102,43,0
ORD125668,2025-01-01T13:54:00,Mumbai,R0056,North Indian,159,37,1
ORD142694,2025-01-01T13:54:00,Mumbai,R0413,Chinese,173,38,0
ORD128163,2025-01-01T13:55:00,Bangalore,R0063,South Indian,96,46,0
ORD140623,2025-01-01T13:57:00,Mumbai,R0150,Street Food,178,47,0
ORD123385,2025-01-01T13:59:00,Chennai,R0239,Continental,485,29,0
ORD116779,2025-01-01T14:02:00,Pune,R0517,Italian,168,45,1
ORD119300,2025-01-01T14:04:00,Delhi,R0686,Continental,214,26,0
ORD148286,2025-01-01T14:05:00,Delhi,R0259,North Indian,217,72,1
ORD105099,2025-01-01T14:11:00,Delhi,R0791,Continental,740,33,1
ORD113979,2025-01-01T14:16:00,Delhi,R0582,Chinese,326,23,1
ORD100919,2025-01-01T14:17:00,Pune,R0651,Chinese,346,30,0
ORD115086,2025-01-01T14:17:00,Delhi,R0068,Fast Food,265,56,1
ORD102468,2025-01-01T14:20:00,Pune,R0521,Continental,533,46,0
ORD149053,2025-01-01T14:20:00,Chennai,R0311,South Indian,515,22,0
ORD107919,2025-01-01T14:25:00,Pune,R0444,Chinese,233,30,1
ORD131808,2025-01-01T14:26:00,Delhi,R0376,Desserts,387,39,0
ORD106634,2025-01-01T14:27:00,Chennai,R0457,Italian,120,37,1
ORD136750,2025-01-01T14:29:00,Kolkata,R0788,Biryani,922,42,0
ORD117709,2025-01-01T14:33:00,Bangalore,R0467,North Indian,403,69,0
ORD100918,2025-01-01T14:33:00,Delhi,R0220,Fast Food,229,67,1
ORD110888,2025-01-01T14:34:00,Delhi,R0028,Continental,157,37,0
ORD100836,2025-01-01T14:35:00,Pune,R0567,Biryani,239,31,0
ORD137332,2025-01-01T14:35:00,Pune,R0794,North Indian,326,34,0
ORD142502,2025-01-01T14:43:00,Pune,R0211,North Indian,201,27,0
ORD118601,2025-01-01T14:45:00,Hyderabad,R0508,Fast Food,202,35,0
ORD148104,2025-01-01T14:48:00,Chennai,R0575,Street Food,476,35,1
ORD117178,2025-01-01T14:48:00,Mumbai,R0187,Fast Food,384,22,1
ORD112286,2025-01-01T14:51:00,Chennai,R0276,Street Food,140,29,0
ORD115768,2025-01-01T14:59:00,Bangalore,R0365,North Indian,221,35,1
ORD122836,2025-01-01T15:00:00,Mumbai,R0777,Biryani,253,83,0
ORD128649,2025-01-01T15:00:00,Chennai,R0321,Desserts,317,39,0
ORD148166,2025-01-01T15:01:00,Delhi,R0319,Continental,589,32,0
ORD146681,2025-01-01T15:06:00,Delhi,R0511,Italian,434,36,1
ORD106095,2025-01-01T15:07:00,Hyderabad,R0202,Biryani,1062,15,0
ORD121405,2025-01-01T15:10:00,Delhi,R0736,Biryani,291,44,0
ORD102616,2025-01-01T15:13:00,Hyderabad,R0384,Fast Food,434,21,1
ORD105047,2025-01-01T15:14:00,Mumbai,R0724,Continental,181,36,0
ORD132994,2025-01-01T15:16:00,Pune,R0182,South Indian,206,16,0
ORD142522,2025-01-01T15:20:00,Bangalore,R0026,Street Food,173,35,0
ORD101479,2025-01-01T15:20:00,Mumbai,R0782,Fast Food,170,36,1
ORD125598,2025-01-01T15:21:00,Bangalore,R0477,Biryani,193,33,0
ORD138186,2025-01-01T15:23:00,Bangalore,R0518,Chinese,188,26,0
ORD123991,2025-01-01T15:24:00,Mumbai,R0019,Biryani,414,32,0
ORD146141,2025-01-01T15:26:00,Bangalore,R0186,Fast Food,279,36,0
ORD108976,2025-01-01T15:28:00,Delhi,R0366,Continental,960,80,1
ORD131102,2025-01-01T15:30:00,Delhi,R0483,North Indian,287,25,0
ORD134039,2025-01-01T15:30:00,Hyderabad,R0141,Chinese,564,30,1
ORD117925,2025-01-01T15:31:00,Hyderabad,R0404,Continental,450,33,0
ORD125860,2025-01-01T15:31:00,Delhi,R0575,Biryani,117,36,0
ORD140631,2025-01-01T15:32:00,Delhi,R0729,Desserts,415,45,1
ORD142389,2025-01-01T15:34:00,Delhi,R0675,Chinese,252,25,1
ORD146029,2025-01-01T15:34:00,Hyderabad,R0089,Street Food,347,36,0
ORD125654,2025-01-01T15:35:00,Mumbai,R0218,Desserts,312,41,0
ORD134398,2025-01-01T15:38:00,Bangalore,R0272,Fast Food,412,28,0
ORD147458,2025-01-01T15:39:00,Delhi,R0739,Continental,270,51,1
ORD120393,2025-01-01T15:40:00,Mumbai,R0726,North Indian,244,38,0
ORD130466,2025-01-01T15:41:00,Bangalore,R0124,Biryani,97,41,0
ORD120321,2025-01-01T15:43:00,Chennai,R0161,Italian,806,34,0
ORD118074,2025-01-01T15:50:00,Delhi,R0505,Street Food,135,34,0
ORD103122,2025-01-01T15:51:00,Bangalore,R0494,Italian,214,32,0
ORD141685,2025-01-01T15:51:00,Delhi,R0283,Italian,305,32,0
ORD104354,2025-01-01T15:52:00,Chennai,R0397,Fast Food,642,50,1
ORD125432,2025-01-01T15:55:00,Delhi,R0784,Biryani,336,44,0
ORD133196,2025-01-01T15:58:00,Mumbai,R0009,North Indian,547,35,0
ORD113758,2025-01-01T15:59:00,Mumbai,R0326,North Indian,125,47,0
ORD104592,2025-01-01T15:59:00,Kolkata,R0061,Italian,274,48,1
ORD105409,2025-01-01T16:01:00,Delhi,R0674,Italian,436,39,0
ORD113610,2025-01-01T16:04:00,Mumbai,R0199,Italian,203,36,0
ORD136968,2025-01-01T16:05:00,Delhi,R0138,Fast Food,179,43,1
ORD116463,2025-01-01T16:06:00,Pune,R0209,South Indian,204,26,0
ORD137169,2025-01-01T16:09:00,Mumbai,R0217,South Indian,487,39,0
ORD133958,2025-01-01T16:10:00,Pune,R0322,South Indian,382,26,0
ORD102189,2025-01-01T16:10:00,Pune,R0530,Fast Food,206,35,0
ORD109492,2025-01-01T16:11:00,Hyderabad,R0239,Biryani,189,25,1
ORD112569,2025-01-01T16:17:00,Delhi,R0111,Italian,337,53,0
ORD100928,2025-01-01T16:20:00,Delhi,R0275,Chinese,544,18,0
ORD143066,2025-01-01T16:20:00,Hyderabad,R0307,North Indian,204,48,0
ORD104299,2025-01-01T16:23:00,Chennai,R0584,Fast Food,228,23,0
ORD137116,2025-01-01T16:24:00,Delhi,R0537,Fast Food,252,25,1
ORD137515,2025-01-01T16:29:00,Bangalore,R0088,North Indian,344,36,0
ORD115867,2025-01-01T16:31:00,Mumbai,R0291,Biryani,367,41,1
ORD121373,2025-01-01T16:32:00,Delhi,R0299,North Indian,203,25,0
ORD106543,2025-01-01T16:38:00,Bangalore,R0262,Biryani,373,44,0
ORD122575,2025-01-01T16:38:00,Mumbai,R0596,Italian,180,27,1
ORD113200,2025-01-01T16:39:00,Pune,R0380,Biryani,251,34,1
ORD141704,2025-01-01T16:42:00,Mumbai,R0099,Italian,187,33,0
ORD117495,2025-01-01T16:44:00,Mumbai,R0092,Chinese,282,29,0
ORD135237,2025-01-01T16:45:00,Bangalore,R0599,Fast Food,349,49,0
ORD147130,2025-01-01T16:50:00,Bangalore,R0496,South Indian,351,43,0
ORD142949,2025-01-01T16:52:00,Kolkata,R0160,Fast Food,259,53,0
ORD116500,2025-01-01T16:55:00,Delhi,R0635,Chinese,951,35,0
ORD134003,2025-01-01T16:56:00,Delhi,R0176,Chinese,292,52,0
ORD113826,2025-01-01T16:56:00,Pune,R0789,Biryani,620,40,0
ORD115275,2025-01-01T16:58:00,Delhi,R0794,Italian,281,41,0
ORD114277,2025-01-01T17:00:00,Mumbai,R0277,South Indian,171,30,0
ORD111244,2025-01-01T17:03:00,Mumbai,R0286,Street Food,216,35,0
ORD104274,2025-01-01T17:13:00,Delhi,R0079,Fast Food,641,31,0
ORD126980,2025-01-01T17:14:00,Bangalore,R0191,North Indian,243,40,0
ORD129292,2025-01-01T17:17:00,Hyderabad,R0206,Fast Food,132,24,0
ORD116735,2025-01-01T17:17:00,Delhi,R0371,Desserts,249,39,0
ORD132689,2025-01-01T17:18:00,Delhi,R0698,Italian,241,46,1
ORD134378,2025-01-01T17:19:00,Mumbai,R0513,Chinese,349,53,0
ORD149302,2025-01-01T17:20:00,Chennai,R0756,Fast Food,284,24,0
ORD131518,2025-01-01T17:22:00,Kolkata,R0788,Continental,331,36,0
ORD147583,2025-01-01T17:24:00,Chennai,R0251,North Indian,155,19,0
ORD146896,2025-01-01T17:25:00,Mumbai,R0781,South Indian,156,40,0
ORD147902,2025-01-01T17:26:00,Kolkata,R0100,South Indian,237,47,0
ORD141045,2025-01-01T17:27:00,Chennai,R0727,Biryani,401,45,0
ORD140848,2025-01-01T17:30:00,Chennai,R0691,South Indian,294,33,0
ORD109804,2025-01-01T17:35:00,Mumbai,R0031,Chinese,232,30,0
ORD140352,2025-01-01T17:35:00,Kolkata,R0121,Desserts,338,42,0
ORD139901,2025-01-01T17:37:00,Bangalore,R0119,Biryani,179,42,0
ORD100088,2025-01-01T17:38:00,Mumbai,R0106,North Indian,374,31,0
ORD104834,2025-01-01T17:39:00,Bangalore,R0069,Fast Food,656,51,0
ORD123616,2025-01-01T17:40:00,Mumbai,R0642,Biryani,105,29,1
ORD134512,2025-01-01T17:44:00,Delhi,R0403,Italian,428,27,0
ORD107126,2025-01-01T17:45:00,Pune,R0040,South Indian,166,47,0
ORD142268,2025-01-01T17:47:00,Delhi,R0404,North Indian,241,30,1
ORD125805,2025-01-01T17:47:00,Bangalore,R0032,Continental,520,33,0
ORD141851,2025-01-01T17:47:00,Hyderabad,R0211,Italian,302,30,1
ORD106429,2025-01-01T17:48:00,Kolkata,R0171,Chinese,314,33,0
ORD134479,2025-01-01T17:51:00,Mumbai,R0360,Fast Food,224,34,0
ORD125847,2025-01-01T17:52:00,Mumbai,R0672,Fast Food,204,13,0
ORD125154,2025-01-01T17:55:00,Hyderabad,R0226,North Indian,400,53,0
ORD147840,2025-01-01T17:56:00,Mumbai,R0784,Chinese,300,40,0
ORD130527,2025-01-01T17:56:00,Delhi,R0575,Chinese,313,35,0
ORD149681,2025-01-01T18:01:00,Chennai,R0581,North Indian,135,33,0
ORD123989,2025-01-01T18:01:00,Hyderabad,R0019,Italian,440,33,0
ORD107025,2025-01-01T18:03:00,Delhi,R0228,Fast Food,221,45,0
ORD139280,2025-01-01T18:03:00,Pune,R0016,Continental,337,34,0
ORD136963,2025-01-01T18:07:00,Chennai,R0588,North Indian,311,44,0
ORD117504,2025-01-01T18:07:00,Delhi,R0018,North Indian,334,31,0
ORD119203,2025-01-01T18:08:00,Mumbai,R0311,Chinese,160,43,1
ORD114089,2025-01-01T18:09:00,Pune,R0622,Fast Food,212,34,0
ORD131490,2025-01-01T18:11:00,Hyderabad,R0581,Street Food,158,36,0
ORD112485,2025-01-01T18:11:00,Mumbai,R0706,Biryani,248,20,0
ORD143629,2025-01-01T18:11:00,Bangalore,R0308,Continental,124,51,0
ORD138957,2025-01-01T18:13:00,Mumbai,R0186,Chinese,259,37,0
